Category,Sub Category,Family,Genus,Species,Common Name,Native,Frequency,Source,Newsletter
Bird,Small Birds,Estrildidae,Taeniopygia,guttata,Zebra Finch ,Yes,Unknown,CNM,
Bird,Small Birds,Zosteropidae,Zosterops,lateralis,Silvereye,Yes,Common,Group,
Bird,Swallowtails,Papilionidae,Papilio,anactus,Dainty Swallowtail ,Yes,Unknown,CNM,
Bird,Waterfowl,Anatidae,Anas,gracilis,Grey Teal,Yes,Common,Group,
Bird,Waterfowl,Anatidae,Anas,superciliosa,Pacific Black Duck,Yes,Common,Group,
Bird,Waterfowl,Anatidae,Aythya,australis,Hardhead,Yes,Uncommon,Group,
Bird,Waterfowl,Anatidae,Chenonetta,jubata,Australian Wood Duck,Yes,Common,Group,
Bird,Waterfowl,Anatidae,Cygnus,atratus,Black Swan ,Yes,Unknown,CNM,
Bird,Waterfowl,Anatidae,Spatula,rhynchotis,Australasian Shoveler ,Yes,Unknown,CNM,
Insect,Ant,Formicidae,Rhytidoponera,metallica,Greenhead ant,Yes,Unknown,CNM,
Insect,Bee,Apideae,Amegilla,cingulata,Common Blue banded Bee,Yes,Unknown,Group,"<a href=""news/Dec14.pdf"">December 2014</a>"
Insect,Bee,Apideae,Apis,mellifera,Western (European) Honeybees,No,Unknown,Group,"<a href=""news/Nov14.pdf"">November 2014</a>"
Insect,Bee Flies,Bombyliidae,Villa,sp.,Unidentified Villa bee Fly,Yes,Unknown,CNM,
Insect,Beetle,Scarabaeidae,Anoplognathus,parapulchella,Christmas Beetle,Yes,Unknown,Group,"<a href=""news/Jan15.pdf"">January 2015</a>"
Insect,Blowfly,Calliphoridae,Calliphora,augur,Lesser Brown Blowfly or Bluebodied Blowfly,Yes,Unknown,Group,"<a href=""news/Jan14.pdf"">January 2014</a>"
Insect,Dragonflies,Libellulidae,Orthetrum,caledonicum,Blue Skimmer ,Yes,Unknown,CNM,
Insect,Fly,Muscidae,Musca,vetustissima,Australian bush fly,Yes,Unknown,Group,"<a href=""news/Nov13.pdf"">November 2013</a>"
Insect,Hoppers,Cicadellidae,Eurymeloides,pulchra,Gumtree hopper ,Yes,Unknown,CNM,
Insect,Hover Fly,Syrphidae,Melangyna,viridiceps,Common Hover Fly,Yes,Unknown,Group,"<a href=""news/Dec13.pdf"">December 2013</a>"
Insect,Moth,Anthelidae,Chelepteryx,collesi,White-stemmed Gum Moth,Yes,Unknown,Group,"<a href=""news/Feb15.pdf"">February 2015</a>"
Insect,Noctuid Moths,Noctuidae,Apina,callisto,Pasture Day Moth ,Yes,Unknown,CNM,
Insect,Nymphs,Nymphalidae,Charaxes,sempronius,Tailed Emperor ,Yes,Unknown,CNM,
Insect,Nymphs,Nymphalidae,Heteronympha,merope,Common Brown Butterfly,Yes,Unknown,Group,"<a href=""news/Apr11.pdf"">April 2011</a>"
Insect,Nymphs,Nymphalidae,Heteronympha,paradelpha,Spotted Brown ,Yes,Unknown,CNM,
Insect,Other Bugs,Coreidae,Mictis,profana,Crusader bug ,Yes,Unknown,CNM,
Insect,Parasitic Wasp,Braconidae,Callibracon,capitator,White Flank Black Braconid Wasp,Yes,Unknown,CNM,
